INDEXSORT,YearIndex,Year,FemCode,MatCode,FDNA,FemID,MatID,DamFemCode,DamID,JuvID,Site,YearFirstCap,DOB,Age,Lifespan,IDNotes,DeathYear,FemNotes,Northing,Easting,FemRS,CapDate,CapMass,FirstBirth,DayBirth,FemSVLAft,FemTotAft,FemTailBreak,FemMassAft,Clutch,Cmass,RelCMass,MeanCmass,MeanCSVL,MeanCTot,SexRatio,Nmale,Nstillborn,Csuccess,OffID,JuvBDate,JuvDBirth,OffCode,OffDNA,OffMass,OffSVL,OffTot,OffTL,OffSex,SexAcc,OffRelDate,OffRS,OffNotes,CatchSept,SVLSept,TotSept,TBSept,MassSept,CopsL,CopsR,CopsTot,FolL,FolR,FolTot,NorthSept,EastSept
20,7,2000,0114,0114,,10,10,,,,OR,2000,,,,,,,,,,,,31/12/2000,21,67,,,5.3942,3,1.4766,0.27373846,0.4922,30.31333333,70.95,0.666666667,2,0,1,19,31/12/2000,21,3025,,0.525,30.97,73.11,42.14,1,90,,8,,,,,,,,,,,,,,
21,7,2000,,0114,,,10,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,31/12/2000,21,3030,,0.4925,29.59,68.61,39.02,0,95,,8,,,,,,,,,,,,,,
22,7,2000,,0114,,,10,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,31/12/2000,21,3/02/3031,,0.4591,30.38,71.13,40.75,1,99,,8,,,,,,,,,,,,,,
23,7,2000,0034,0034,,11,11,,,,OR,2000,,,,,,,,,,,,1/01/2001,22,,,,3.0893,2,1.0023,0.32444243,0.5012,28.445,66.79,0.5,1,0,1,22,1/01/2001,22,3104,,0.4945,28.33,,,1,99,,8,,,,,,,,,,,,,,
24,7,2000,,0034,,,11,,,,OR,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,23,1/01/2001,22,3105,,0.5078,28.56,66.79,38.23,0,90,,8,,,,,,,,,,,,,,
25,7,2000,0042,0042,,12,12,,,,OR,2000,,,,,,,,,,,,1/01/2001,22,62,139,77,4.593,3,1.3314,0.289875898,0.4438,28.35,66.53,1,3,0,1,24,1/01/2001,22,3101,,0.4888,28.36,,,1,95,,8,,,,,,,,,,,,,,
26,7,2000,,0042,,,12,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1/01/2001,22,3102,,0.3892,28.05,65.3,37.25,1,90,,8,,,,,,,,,,,,,,
27,7,2000,,0042,,,12,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1/01/2001,22,3103,,0.4534,28.64,67.76,39.12,1,99,,8,,,,,,,,,,,,,,
28,7,2000,0044,0044,,13,13,,,,OR,2000,,,,,,,,,,,,1/01/2001,22,62,116,16,4.3456,2,1.1441,0.263277798,0.5721,30.23,71.495,1,2,0,1,27,1/01/2001,22,3050,,0.544,30.18,71.38,41.2,1,99,,8,,,,,,,,,,,,,,
29,7,2000,,0044,,,13,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1/01/2001,22,3051,,0.6001,30.28,71.61,41.33,1,99,,8,,,,,,,,,,,,,,
30,7,2000,0105,0105,,14,14,,,,OR,2000,,,,,,,,,,,,1/01/2001,22,61,139,0,4.8114,2,0.9275,0.192771335,0.4638,28.52,65.04,0.5,1,0,1,29,1/01/2001,22,3055,,0.464,28.19,63.27,35.08,0,50,,8,,,,,,,,,,,,,,
31,7,2000,,0105,,,14,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1/01/2001,22,3100,,0.4635,28.85,66.81,37.96,1,90,,8,,,,,,,,,,,,,,
32,7,2000,0134,0134,,15,15,,,,OR,2000,,,,,,,,,,,,1/01/2001,22,72,125,21,6.128,2,1.0514,0.171573107,0.5257,28.69,66.55,0,0,0,1,31,1/01/2001,22,3041,,0.521,29.01,66.63,37.62,0,95,,8,,,,,,,,,,,,,,
33,7,2000,,0134,,,15,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1/01/2001,22,3042,,0.5304,28.37,66.47,38.1,0,90,,8,,,,,,,,,,,,,,
34,7,2000,0145,0145,,16,16,,,,OR,2000,,,,,,,,,,,,1/01/2001,22,69,140,38,6.0318,3,1.2403,0.205626844,0.4134,28.56,63.34,0.333333333,1,0,1,33,1/01/2001,22,3052,,0.4081,28.58,63.65,35.07,1,99,,8,,,,,,,,,,,,,,
35,7,2000,,0145,,,16,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1/01/2001,22,3053,,0.4382,,,,0,,,8,,,,,,,,,,,,,,
36,7,2000,,0145,,,16,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1/01/2001,22,3054,,0.394,28.54,63.03,34.49,0,90,,8,,,,,,,,,,,,,,
37,7,2000,0234,0234,,17,17,,,,OR,2000,,,,,,,,,,,,1/01/2001,22,63,137,57,4.7021,2,1.0211,0.217158291,0.5106,28.875,68.025,1,2,0,1,36,1/01/2001,22,3034,,0.5393,28.76,68.16,39.4,1,99,,8,,,,,,,,,,,,,,
38,7,2000,,0234,,,17,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1/01/2001,22,3035,,0.4818,28.99,67.89,38.9,1,80,,8,,,,,,,,,,,,,,
39,7,2000,2002,2002,,18,18,,,,OR,2000,,,,,,,,,,,,1/01/2001,22,62,107,7,4.7466,1,0.5374,0.113217882,0.5374,28.91,68.46,0,0,0,1,38,1/01/2001,22,3040,,0.5374,28.91,68.46,39.55,0,80,,8,,,,,,,,,,,,,,
40,7,2000,2510,2510,,19,19,,,,OR,2000,,,,,,,,,,,,1/01/2001,22,67,146,54,6.0141,3,1.4888,0.247551587,0.4963,28.45666667,66.47333333,0,0,0,1,39,1/01/2001,22,3043,,0.508,28.6,67.52,38.92,0,90,,8,,,,,,,,,,,,,,
41,7,2000,,2510,,,19,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1/01/2001,22,3044,,0.4748,28.44,66.6,38.16,0,99,,8,,,,,,,,,,,,,,
42,7,2000,,2510,,,19,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1/01/2001,22,3045,,0.506,28.33,65.3,36.97,0,90,,8,,,,,,,,,,,,,,
43,7,2000,0103,0103,,20,20,,,,OR,2000,,,,,,,,,,,,2/01/2001,23,64,150,74,5.0695,2,1.1139,0.219725811,0.557,29.965,70.61,0,0,0,1,42,2/01/2001,23,3131,,0.5591,30.32,69.47,39.15,0,90,,8,,,,,,,,,,,,,,
44,7,2000,,0103,,,20,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2/01/2001,23,3132,,0.5548,29.61,71.75,42.14,0,80,,8,,,,,,,,,,,,,,
45,7,2000,0110,0110,,21,21,,,,OR,2000,,,,,,,,,,,,2/01/2001,23,72,153,69,6.748,4,1.9768,0.292946058,0.4942,29.58666667,67.84,0,0,1,0.75,44,2/01/2001,23,3110,,0.4674,28.6,64.94,36.34,0,90,,8,,,,,,,,,,,,,,
46,7,2000,,0110,,,21,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2/01/2001,23,3111,,0.513,30.2,68.28,38.08,0,90,,8,,,,,,,,,,,,,,
47,7,2000,,0110,,,21,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2/01/2001,23,3112,,0.4627,29.96,70.3,40.34,0,95,,8,,,,,,,,,,,,,,
48,7,2000,,0110,,,21,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/01/2001,23,XXXX,,0.5337,,,,,,,,,,,,,,,,,,,,,
49,7,2000,0115,0115,,22,22,,,,OR,2000,,,,,2000,deceased,,,,,,2/01/2001,23,62,124,23,4.5516,2,0.9492,0.208542051,0.4746,29.155,67.855,0.5,1,0,1,47,2/01/2001,23,3120,,0.4773,28.81,67.4,38.59,0,90,,8,,,,,,,,,,,,,,
50,7,2000,,0115,,,22,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2/01/2001,23,3121,,0.4719,29.5,68.31,38.81,1,99,,8,,,,,,,,,,,,,,
51,7,2000,0143,0143,,23,23,,,,OR,2000,,,,,,,,,,,,2/01/2001,23,58,89,5,3.1149,2,0.9209,0.29564352,0.4605,27.96,65.185,1,2,0,1,49,2/01/2001,23,3124,,0.4146,27.44,65.02,37.58,1,99,,8,,,,,,,,,,,,,,
52,7,2000,,0143,,,23,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2/01/2001,23,3125,,0.5063,28.48,65.35,36.87,1,95,,8,,,,,,,,,,,,,,
53,7,2000,0231,0231,,24,24,,,,OR,2000,,,,,,,,,,,,2/01/2001,23,62,138,60,4.5781,2,0.9922,0.216727463,0.4961,29.56,66.15,0,0,0,1,51,2/01/2001,23,3122,,0.4824,29.18,64.59,35.41,0,95,,8,,,,,,,,,,,,,,
54,7,2000,,0231,,,24,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,2/01/2001,23,3123,,0.5098,29.94,67.71,37.77,0,90,,8,,,,,,,,,,,,,,
55,7,2000,0301,0301,,25,25,,,,OR,2000,,,,,,,,,,,,2/01/2001,23,68,133,25,5.2902,3,1.6522,0.312313334,0.5507,30.285,68.705,0,0,0,1,53,2/01/2001,23,3113,,0.5118,30.19,68.31,38.12,0,95,,8,,,,,,,,,,,,,,
56,7,2000,,0301,,,25,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,2/01/2001,23,3114,,0.5918,,,,0,,,8,,,,,,,,,,,,,,
57,7,2000,,0301,,,25,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2/01/2001,23,3115,,0.5486,30.38,69.1,38.72,0,95,,8,,,,,,,,,,,,,,
58,7,2000,2350,2350,,26,26,,,,OR,2000,,,,,,,,,,,,2/01/2001,23,66.5,146,56,6.2805,2,1.1633,0.185224106,0.5817,29.345,70.56,0,0,0,1,56,2/01/2001,23,312/30,,0.5715,29.02,70.12,41.1,0,95,,8,,,,,,,,,,,,,,
59,7,2000,,2350,,,26,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,2/01/2001,23,3130,,0.5918,29.67,71,41.33,0,90,,8,,,,,,,,,,,,,,
60,7,2000,4224,4224,,27,27,,,,OR,2000,,,,,,(4)224,,,,,,3/01/2001,24,59,138,0,4.3276,1,0.5455,0.126051391,0.5455,29.83,69.14,1,1,0,1,58,3/01/2001,24,3133,,0.5455,29.83,69.14,39.31,1,99,,8,,,,,,,,,,,,,,
61,7,2000,0014,0014,,28,28,,,,OR,2000,,,,,,,,,,,,4/01/2001,25,65,116,8,4.4313,2,1.0076,0.227382484,0.5038,28.825,65.045,0,0,0,1,59,4/01/2001,25,314/(5)4,,0.4748,28.26,64.22,35.96,0,95,,8,,,,,,,,,,,,,,
62,7,2000,,0014,,,28,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,4/01/2001,25,3145,,0.5328,29.39,65.87,36.48,0,90,,8,,,,,,,,,,,,,,
63,7,2000,0023,0023,,29,29,,,,OR,2000,,,,,,,,,,,,4/01/2001,25,59,145,0,4.2344,2,0.9723,0.229619309,0.4862,28.855,66.79,0,0,0,1,61,4/01/2001,25,3151,,0.4886,28.85,66.22,37.37,0,90,,8,,,,,,,,,,,,,,
64,7,2000,,0023,,,29,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,4/01/2001,25,3152,,0.4837,28.86,67.36,38.5,0,50,,8,,,,,,,,,,,,,,
65,7,2000,0043,0043,,30,30,,,,OR,2000,,,,,,,,,,,,4/01/2001,25,61,102,20,4.199,2,1.0139,0.241462253,0.507,30.285,73.36,0,0,0,1,63,4/01/2001,25,31/2/342,,0.5302,30.54,73.36,42.82,0,70,,8,,,,,,,,,,,,,,
66,7,2000,,0043,,,30,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4/01/2001,25,3143,,0.4837,30.03,,,0,95,,8,,,,,,,,,,,,,,
67,7,2000,0052,0052,,31,31,,,,OR,2000,,,,,,,,,,,,4/01/2001,25,62,131,36,5.144,1,0.5495,0.106823484,0.5495,29.7,70.38,1,1,0,1,65,4/01/2001,25,3150,,0.5495,29.7,70.38,40.68,1,95,,8,,,,,,,,,,,,,,
68,7,2000,0221,0221,,32,32,,,,OR,2000,,,,,,,,,,,,4/01/2001,25,73,129,7,6.4466,5,2.4201,0.375407191,0.484,29.212,66.626,0.4,2,0,1,66,4/01/2001,25,3153,,0.455,29.79,68.23,38.44,1,95,,8,,,,,,,,,,,,,,
69,7,2000,,0221,,,32,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,4/01/2001,25,3154,,0.4755,28.67,64.34,35.67,1,95,,8,,,,,,,,,,,,,,
70,7,2000,,0221,,,32,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,4/01/2001,25,3155,,0.5527,29.7,68.19,38.49,0,90,,8,,,,,,,,,,,,,,
71,7,2000,,0221,,,32,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,4/01/2001,25,3200,,0.4584,28.58,64.56,35.98,0,80,,8,,,,,,,,,,,,,,
72,7,2000,,0221,,,32,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,4/01/2001,25,3201,,0.4785,29.32,67.81,38.49,0,95,,8,,,,,,,,,,,,,,
73,7,2000,0223,0223,,33,33,,,,OR,2000,,,,,,,,,,,,4/01/2001,25,68,145,50,5.4247,4,1.8909,0.348572271,0.4727,29.155,65.9525,0.5,2,0,1,71,4/01/2001,25,3134,,0.4757,29.22,66.29,37.07,1,99,,8,,,,,,,,,,,,,,
74,7,2000,,0223,,,33,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,4/01/2001,25,3135,,0.5289,29.04,64.29,35.25,1,98,,8,,,,,,,,,,,,,,
75,7,2000,,0223,,,33,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,4/01/2001,25,3140,,0.4477,29.34,67.69,38.35,0,90,,8,,,,,,,,,,,,,,
76,7,2000,,0223,,,33,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,4/01/2001,25,3141,,0.4386,29.02,65.54,36.52,0,90,,,,,,,,,,,,,,,,
77,7,2000,0024,0024,,34,34,,,,OR,2000,,,,,,,,,,,,5/01/2001,26,70,132,39,5.6893,3,1.6155,0.283954089,0.5385,30.00666667,69.79,0.666666667,2,0,1,75,5/01/2001,26,3205,,0.5538,30.26,70.32,40.06,0,95,,8,,,,,,,,,,,,,,
78,7,2000,,0024,,,34,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,5/01/2001,26,3210,,0.5084,29.81,69.17,39.36,1,95,,8,,,,,,,,,,,,,,
79,7,2000,,0024,,,34,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,5/01/2001,26,3211,,0.5533,29.95,69.88,39.93,1,99,,8,,,,,,,,,,,,,,
80,7,2000,0111,0111,,35,35,,,,OR,2000,,,,,,,,,,,,5/01/2001,26,62,135,0,4.8351,2,0.961,0.198754938,0.4805,28.925,65.52,0.5,1,0,1,78,5/01/2001,26,3214,,0.4874,29.14,65.85,36.71,0,95,,8,,,,,,,,,,,,,,
81,7,2000,,0111,,,35,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,5/01/2001,26,3215,,0.4736,28.71,65.19,36.48,1,95,,8,,,,,,,,,,,,,,
82,7,2000,0125,0125,,36,36,,,,OR,2000,,,,,,,,,,,,5/01/2001,26,64,146,0,4.8664,2,1.0717,0.220224396,0.5359,30.215,70.43,0.5,1,0,1,80,5/01/2001,26,3212,,0.5386,30.43,69.19,38.76,1,99,,8,,,,,,,,,,,,,,
83,7,2000,,0125,,,36,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,5/01/2001,26,32/(3)13,,0.5331,30,71.67,41.67,0,99,,8,,,,,,,,,,,,,,
84,7,2000,0214,0214,,37,37,,,,OR,2000,,,,,,,,,,,,5/01/2001,26,66,151,0,5.4674,3,1.6538,0.302483813,0.5513,29.55666667,70.03333333,0.666666667,2,0,1,82,5/01/2001,26,3202,,0.5394,29.48,70.16,40.68,1,95,,8,,,,,,,,,,,,,,
85,7,2000,,0214,,,37,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,5/01/2001,26,3203,,0.5804,29.85,69.99,40.14,1,99,,8,,,,,,,,,,,,,,
86,7,2000,,0214,,,37,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,5/01/2001,26,3204,,0.534,29.34,69.95,40.61,0,95,,8,,,,,,,,,,,,,,
87,7,2000,0102,0102,,38,38,,,,OR,2000,,,,,,,,,,,,6/01/2001,27,62,121,15,4.825,2,1.0486,0.217326425,0.5243,29.045,65.85,1,2,0,1,85,6/01/2001,27,3220,,0.5389,29.02,65.55,36.53,1,99,,8,,,,,,,,,,,,,,
88,7,2000,,0102,,,38,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,6/01/2001,27,3221,,0.5097,29.07,66.15,37.08,1,100,,8,,,,,,,,,,,,,,
89,7,2000,0132,0132,,39,39,,,,OR,2000,,,,,,,,,,,,6/01/2001,27,59,145,0,3.4619,2,1.0073,0.290967388,0.5037,28.905,66.715,0.5,1,0,1,87,6/01/2001,27,3225,,0.5121,29.18,67.35,38.17,1,99,,8,,,,,,,,,,,,,,
90,7,2000,,0132,,,39,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,6/01/2001,27,3230,,0.4952,28.63,66.08,37.45,0,95,,8,,,,,,,,,,,,,,
91,7,2000,0142,0142,,40,40,,,,OR,2000,,,,,2000,deceased,,,,,,6/01/2001,27,,,,4.6947,2,0.9693,0.206466867,0.4847,29.015,67.255,0,0,0,1,89,6/01/2001,27,3231,,0.486,29.14,67.14,38,0,90,,8,,,,,,,,,,,,,,
92,7,2000,,0142,,,40,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,6/01/2001,27,3232,,0.4833,28.89,67.37,38.48,0,90,,8,,,,,,,,,,,,,,
93,7,2000,3140,3140,,41,41,,,,OR,2000,,,,,,,,,,,,6/01/2001,27,66,145,0,5.4381,3,1.6328,0.300251926,0.5443,29.72666667,66.74,0.333333333,1,0,1,91,6/01/2001,27,3222,,0.5655,29.84,68.68,38.84,0,90,,8,,,,,,,,,,,,,,
94,7,2000,,3140,,,41,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,6/01/2001,27,3223,,0.5473,29.39,65.39,36,1,100,,8,,,,,,,,,,,,,,
95,7,2000,,3140,,,41,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,6/01/2001,27,3224,,0.52,29.95,66.15,36.2,0,95,,8,,,,,,,,,,,,,,
96,7,2000,0032,0032,,42,42,,,,OR,2000,,,,,,,,,,,,7/01/2001,28,58,140,0,3.7674,2,0.8697,0.230848861,0.4349,28.145,65.46,0,0,0,1,94,7/01/2001,28,3255,,0.4589,27.64,65.07,37.43,0,90,,8,,,,,,,,,,,,,,
97,7,2000,,0032,,,42,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,7/01/2001,28,3300,,0.4108,28.65,65.85,37.2,0,90,,8,,,,,,,,,,,,,,
98,7,2000,0053,0053,,43,43,,,,OR,2000,,,,,,,,,,,,7/01/2001,28,65,122,16,4.588,3,1.577,0.343722755,0.5257,29.15333333,68.36,0.666666667,2,0,1,96,7/01/2001,28,3233,,0.4961,29.15,68.09,38.94,1,90,,8,,,,,,,,,,,,,,
99,7,2000,,0053,,,43,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,7/01/2001,28,3234,,0.5511,29.06,68.49,39.43,1,100,,8,,,,,,,,,,,,,,
100,7,2000,,0053,,,43,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,7/01/2001,28,3235,,0.5298,29.25,68.5,39.25,0,90,,8,,,,,,,,,,,,,,
101,7,2000,0122,0122,,44,44,,,,OR,2000,,,,,,,,,,,,7/01/2001,28,,,,3.0493,2,0.9612,0.315219887,0.4806,29.69,70.17,1,2,0,1,99,7/01/2001,28,3242,,0.4759,29.29,69.56,40.27,1,95,,8,,,,,,,,,,,,,,
102,7,2000,,0122,,,44,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,7/01/2001,28,3243,,0.4853,30.09,70.78,40.69,1,95,,8,,,,,,,,,,,,,,
103,7,2000,0154,0154,,45,45,,,,OR,2000,,,,,,,,,,,,7/01/2001,28,62,152,0,5.2503,2,1.1163,0.212616422,0.5582,30.255,71.425,0.5,1,0,1,101,7/01/2001,28,3240,,0.5284,30.27,71.2,40.93,0,90,,8,,,,,,,,,,,,,,
104,7,2000,,0154,,,45,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,7/01/2001,28,3241,,0.5879,30.24,71.65,41.41,1,95,,8,,,,,,,,,,,,,,
105,7,2000,0203,0203,,46,46,,,,OR,2000,,,,,,dying,,,,,,7/01/2001,28,64,148,0,5.0713,2,1.0562,0.208270069,0.5281,29.585,68.28,0.5,1,0,1,103,7/01/2001,28,3251,,0.5545,30.14,70.09,39.95,1,95,,8,,,,,,,,,,,,,,
106,7,2000,,0203,,,46,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,7/01/2001,28,3252,,0.5017,29.03,66.47,37.44,0,90,,8,,,,,,,,,,,,,,
107,7,2000,0222,0222,,47,47,,,,OR,2000,,,,,,,,,,,,7/01/2001,28,65,129,53,5.5569,3,1.3876,0.249707571,0.4625,28.91,66.63666667,0.333333333,1,0,1,105,7/01/2001,28,3244,,0.4293,29.32,67.3,37.98,0,90,,8,,,,,,,,,,,,,,
108,7,2000,,0222,,,47,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,7/01/2001,28,3245,,0.4624,28.4,64.19,35.79,0,90,,8,,,,,,,,,,,,,,
109,7,2000,,0222,,,47,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,7/01/2001,28,3250,,0.4959,29.01,68.42,39.41,1,95,,8,,,,,,,,,,,,,,
